                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2379270577709740E+004   0.0000000000000000E+000                         1                         0                        15                        16
  0.2510726557454446E+004   0.0000000000000000E+000                         1                         0                        16                        17
  0.2642584372333867E+004   0.0000000000000000E+000                         1                         0                        17                        18
  0.2775687824986656E+004   0.0000000000000000E+000                         1                         0                        18                        19
  0.2909249126397945E+004   0.0000000000000000E+000                         1                         0                        19                        20
  0.3042853483757125E+004   0.0000000000000000E+000                         1                         0                        20                        21
  0.3176578177366557E+004   0.0000000000000000E+000                         1                         0                        21                        22
  0.3310355426864775E+004   0.0000000000000000E+000                         1                         0                        22                        23
  0.3444667556173967E+004   0.0000000000000000E+000                         1                         0                        23                        24
  0.3579298793792116E+004   0.0000000000000000E+000                         1                         0                        24                        25
  0.3714165164619152E+004   0.0000000000000000E+000                         1                         0                        25                        26
  0.3849315689428438E+004   0.0000000000000000E+000                         1                         0                        26                        27
  0.3984455178906082E+004   0.0000000000000000E+000                         1                         0                        27                        28
  0.4119750708173894E+004   0.0000000000000000E+000                         1                         0                        28                        29
  0.4255041901483761E+004   0.0000000000000000E+000                         1                         0                        29                        30
  0.4390268409431726E+004   0.0000000000000000E+000                         1                         0                        30                        31
  0.4525383304525448E+004   0.0000000000000000E+000                         1                         0                        31                        32
  0.4659940108085002E+004   0.0000000000000000E+000                         1                         0                        32                        33
  0.4792876727602807E+004   0.0000000000000000E+000                         1                         0                        33                        34
  0.4923890402438600E+004   0.0000000000000000E+000                         1                         0                        34                        35
  0.5055603772124980E+004   0.0000000000000000E+000                         1                         0                        35                        36
  0.5185342827108838E+004   0.0000000000000000E+000                         1                         0                        36                        37
  0.5312176989638935E+004   0.0000000000000000E+000                         1                         0                        37                        38
  0.5435911312337952E+004   0.0000000000000000E+000                         1                         0                        38                        39
  0.5557897758566727E+004   0.0000000000000000E+000                         1                         0                        39                        40
  0.5680897682547957E+004   0.0000000000000000E+000                         1                         0                        40                        41
  0.5806935005692968E+004   0.0000000000000000E+000                         1                         0                        41                        42
  0.5936023888749753E+004   0.0000000000000000E+000                         1                         0                        42                        43
  0.6067415720195156E+004   0.0000000000000000E+000                         1                         0                        43                        44
  0.6200408078383330E+004   0.0000000000000000E+000                         1                         0                        44                        45
  0.6334374436580246E+004   0.0000000000000000E+000                         1                         0                        45                        46
  0.6469040170383159E+004   0.0000000000000000E+000                         1                         0                        46                        47
  0.6604129324766932E+004   0.0000000000000000E+000                         1                         0                        47                        48
  0.6739484045417396E+004   0.0000000000000000E+000                         1                         0                        48                        49
  0.6875035132490911E+004   0.0000000000000000E+000                         1                         0                        49                        50
  0.7010624848012145E+004   0.0000000000000000E+000                         1                         0                        50                        51
  0.7146248553506213E+004   0.0000000000000000E+000                         1                         0                        51                        52
  0.7281797965010527E+004   0.0000000000000000E+000                         1                         0                        52                        53
  0.7417225022437902E+004   0.0000000000000000E+000                         1                         0                        53                        54
  0.7552503183733657E+004   0.0000000000000000E+000                         1                         0                        54                        55
  0.7687525214739600E+004   0.0000000000000000E+000                         1                         0                        55                        56
